Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1923,-.37,-.32,-.29,-.28,-.28,-.34,-.32,-.38,-.44,-.32,-.19,-.16,-.31,-.31,-.31,-.28,-.35,-.32
1924,-.16,-.25,-.18,-.33,-.30,-.32,-.35,-.45,-.41,-.47,-.52,-.50,-.35,-.33,-.19,-.27,-.38,-.47
1925,-.50,-.43,-.33,-.35,-.36,-.38,-.27,-.20,-.34,-.24,-.11,-.08,-.30,-.33,-.48,-.35,-.28,-.23
1926,-.11,-.13,-.15,-.11,-.22,-.29,-.33,-.19,-.24,-.27,-.27,-.28,-.22,-.20,-.10,-.16,-.27,-.26
1927,-.25,-.27,-.30,-.34,-.38,-.40,-.30,-.31,-.27,-.25,-.19,-.26,-.29,-.29,-.27,-.34,-.34,-.23
1928,-.28,-.26,-.26,-.23,-.41,-.44,-.28,-.26,-.27,-.29,-.22,-.29,-.29,-.29,-.26,-.30,-.33,-.26
1929,-.33,-.36,-.46,-.47,-.48,-.47,-.38,-.43,-.30,-.27,-.18,-.41,-.38,-.37,-.33,-.47,-.43,-.25
1930,-.47,-.34,-.33,-.33,-.28,-.31,-.36,-.29,-.27,-.23,-.06,-.16,-.29,-.31,-.41,-.31,-.32,-.19
1931,-.18,-.15,-.12,-.22,-.22,-.28,-.14,-.15,-.29,-.25,-.35,-.20,-.21,-.21,-.16,-.19,-.19,-.30
1932,-.09,-.16,-.16,-.20,-.25,-.41,-.34,-.34,-.31,-.31,-.21,-.30,-.26,-.25,-.15,-.20,-.36,-.28
1933,-.26,-.27,-.27,-.31,-.32,-.37,-.30,-.32,-.31,-.33,-.37,-.35,-.32,-.31,-.28,-.30,-.33,-.34
1934,-.30,-.40,-.33,-.33,-.27,-.28,-.17,-.15,-.17,-.25,-.20,-.22,-.26,-.27,-.35,-.31,-.20,-.21
1935,-.27,-.30,-.32,-.38,-.30,-.39,-.38,-.37,-.35,-.22,-.18,-.16,-.30,-.31,-.26,-.33,-.38,-.25
1936,-.26,-.25,-.30,-.33,-.32,-.47,-.29,-.28,-.25,-.13,-.12,-.18,-.26,-.26,-.22,-.32,-.35,-.16
1937,-.24,-.18,-.18,-.24,-.23,-.24,-.21,-.11,-.10,-.16,-.07,-.14,-.17,-.18,-.20,-.22,-.19,-.11
1938,-.19,-.21,-.16,-.20,-.23,-.28,-.18,-.21,-.16,-.05,-.17,-.13,-.18,-.18,-.18,-.20,-.22,-.13
1939,-.15,-.13,-.12,-.13,-.10,-.14,-.15,-.18,-.26,-.15,-.09,.10,-.13,-.14,-.14,-.12,-.16,-.17
1940,.12,.04,.17,.09,.07,.07,.10,.09,.07,-.03,.06,.30,.10,.08,.09,.11,.09,.03
1941,.21,.17,.10,.23,.14,.08,.21,.14,-.03,.23,.30,.26,.17,.17,.23,.16,.15,.17
1942,.19,.14,.12,.10,.06,.00,.00,.00,-.16,-.26,-.08,-.04,.01,.03,.20,.09,.00,-.17
1943,.07,-.05,-.08,-.10,-.10,-.04,.18,-.08,-.04,.00,.04,.08,-.01,-.02,.00,-.10,.02,.00
1944,.09,.05,.21,.21,.14,.17,.23,.22,.21,.08,.03,.09,.14,.14,.07,.19,.21,.11
1945,.10,.08,.03,.10,.04,-.05,.02,.26,.22,.13,.08,.09,.09,.09,.09,.06,.08,.14
